City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Nouadhibou,MR,20.931,-17.0347,78.78,89,0,6.91,clear sky
180,Thinadhoo,MV,0.5333,72.9333,75.4,95,100,11.9,overcast clouds
181,Kamaishi,JP,39.2667,141.8833,79.9,81,41,4.23,scattered clouds
182,Conde,BR,-7.2597,-34.9075,72.86,94,75,5.75,broken clouds
183,Canico,PT,32.6333,-16.85,75.83,73,20,18.41,few clouds
184,Ajdabiya,LY,30.7554,20.2263,77.13,71,0,6.31,clear sky
185,Pisco,PE,-13.7,-76.2167,60.85,88,20,9.22,mist
186,Noumea,NC,-22.2763,166.4572,78.78,99,0,4.36,clear sky
187,Kathmandu,NP,27.7167,85.3167,68.22,100,100,2.3,overcast clouds
188,Haines Junction,CA,60.7522,-137.5108,69.75,37,97,17.27,overcast clouds
189,Bereznehuvate,UA,47.3078,32.8499,63.84,62,0,2.57,clear sky
190,Ahuimanu,US,21.4447,-157.8378,83.91,71,100,20.71,light rain
191,Port Augusta,AU,-32.5,137.7667,55.56,53,100,4.92,overcast clouds
192,Kulhudhuffushi,MV,6.6221,73.07,81.55,77,50,14.97,scattered clouds
193,Chumikan,RU,54.7183,135.315,63.86,69,10,0.76,clear sky
194,Pevek,RU,69.7008,170.3133,34.39,87,100,11.92,overcast clouds
195,Rennes,FR,48.1667,-1.6667,56.57,88,0,3.44,clear sky
196,San Policarpo,PH,12.1791,125.5072,84.4,71,100,3.74,overcast clouds
197,Tiksi,RU,71.6872,128.8694,53.78,75,100,3.78,overcast clouds
198,Yola,NG,9.2,12.4833,75.13,92,100,3.15,light rain
199,Morondava,MG,-20.2833,44.2833,66.38,71,0,11.83,clear sky
200,Russell,US,32.3502,-85.1999,89.2,66,20,3.44,few clouds
201,Tshikapa,CD,-6.4167,20.8,71.15,34,51,3.09,broken clouds
202,Fereydun Kenar,IR,36.6864,52.5225,77.13,81,3,2.42,clear sky
203,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,83,40,5.75,scattered clouds
204,Ixtapa,MX,20.7,-105.2,85.23,74,75,10.36,broken clouds
205,Capreol,CA,46.706,-80.9225,72.07,53,40,10.36,scattered clouds
206,Tucurui,BR,-3.7661,-49.6725,77.72,63,82,1.48,broken clouds
207,Bengkulu,ID,-3.8004,102.2655,77.38,82,97,3.11,overcast clouds
208,Tomakomai,JP,42.6369,141.6033,75.34,83,75,4.61,broken clouds
209,Koulamoutou,GA,-1.1303,12.4736,69.37,82,53,1.5,broken clouds
210,Marawi,PH,7.9986,124.2928,79.38,68,49,2.77,scattered clouds
211,Camacha,PT,33.0833,-16.3333,67.42,83,40,14.97,scattered clouds
212,Nanortalik,GL,60.1432,-45.2371,43.59,92,62,1.79,broken clouds
213,Qaanaaq,GL,77.484,-69.3632,40.69,69,58,0.94,broken clouds
214,Tres Arroyos,AR,-38.3739,-60.2798,53.24,96,100,5.61,overcast clouds
215,Letlhakane,BW,-21.4167,25.5833,54.01,63,0,9.13,clear sky
216,Bubaque,GW,11.2833,-15.8333,79.77,77,84,9.28,broken clouds
217,Launceston,AU,-41.45,147.1667,46.15,100,25,3.44,scattered clouds
218,Gladstone,AU,-23.85,151.25,62.53,39,0,11.5,clear sky
219,Talnakh,RU,69.4865,88.3972,60.21,60,96,5.17,overcast clouds
220,Sao Filipe,CV,14.8961,-24.4956,77.2,85,65,2.84,broken clouds
221,Yarada,IN,17.65,83.2667,82.26,77,100,0.43,overcast clouds
222,Husavik,IS,66.0449,-17.3389,51.66,82,100,5.68,overcast clouds
223,Caibarien,CU,22.5206,-79.4669,76.32,85,89,14.74,light rain
224,Itarema,BR,-2.9248,-39.9167,77.77,76,78,13.06,broken clouds
